date,airline,text
27-02-2025,Indigo,Very cramped seating and poor food quality.
06-05-2025,Air India,The flight was on time and the crew was very friendly.
14-02-2025,Akasa,"The flight was okay, nothing exceptional."
16-01-2025,Indigo,"Excellent service, very comfortable seating."
16-09-2025,Akasa,Value for money and pleasant travel experience.
12-04-2025,Air Asia,"Worst experience, would not recommend this airline."
03-08-2025,Air India,"The journey was fine, nothing special."
23-05-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
24-06-2025,Spicejet,"Excellent service, very comfortable seating."
22-06-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
19-02-2025,Spicejet,"The journey was fine, nothing special."
16-05-2025,Indigo,Unhelpful staff and uncomfortable journey.
05-03-2025,Vistara,Value for money and pleasant travel experience.
31-05-2025,Air Asia,Very cramped seating and poor food quality.
09-04-2025,Air Asia,The flight was on time and the crew was very friendly.
27-04-2025,Spicejet,"Excellent service, very comfortable seating."
21-02-2025,Vistara,Food was average but manageable.
06-07-2025,Air India,"Decent experience, could be better."
18-04-2025,Air Asia,"The flight was okay, nothing exceptional."
29-03-2025,Akasa,Lost baggage and no proper response from staff.
25-03-2025,Vistara,"Decent experience, could be better."
23-04-2025,Air Asia,"The flight was okay, nothing exceptional."
28-04-2025,Indigo,Food was average but manageable.
18-05-2025,Indigo,Value for money and pleasant travel experience.
11-06-2025,Air India,Unhelpful staff and uncomfortable journey.
22-07-2025,Air Asia,"Average service, but acceptable for the price."
16-05-2025,Air India,Value for money and pleasant travel experience.
15-05-2025,Air Asia,Unhelpful staff and uncomfortable journey.
24-07-2025,Spicejet,"Excellent service, very comfortable seating."
18-09-2025,Vistara,The flight was on time and the crew was very friendly.
26-02-2025,Air India,Lost baggage and no proper response from staff.
05-08-2025,Akasa,"Cabin crew was polite and helpful, enjoyed the journey."
15-07-2025,Akasa,"The journey was fine, nothing special."
09-05-2025,Akasa,The flight was on time and the crew was very friendly.
17-05-2025,Air Asia,"The flight was okay, nothing exceptional."
31-05-2025,Vistara,"Cabin crew was polite and helpful, enjoyed the journey."
02-01-2025,Air Asia,Very cramped seating and poor food quality.
14-09-2025,Air India,"Terrible experience, flight was delayed for hours."
02-06-2025,Air Asia,"Worst experience, would not recommend this airline."
12-04-2025,Air India,"Average service, but acceptable for the price."
01-01-2025,Akasa,Food was average but manageable.
10-01-2025,Indigo,"Decent experience, could be better."
03-05-2025,Indigo,Value for money and pleasant travel experience.
10-02-2025,Indigo,Unhelpful staff and uncomfortable journey.
05-02-2025,Akasa,"Excellent service, very comfortable seating."
01-09-2025,Akasa,Smooth check-in process and great hospitality.
28-09-2025,Akasa,"Average service, but acceptable for the price."
13-04-2025,Air Asia,Food was average but manageable.
11-07-2025,Vistara,Unhelpful staff and uncomfortable journey.
03-03-2025,Air India,The flight was on time and the crew was very friendly.
23-06-2025,Indigo,"Worst experience, would not recommend this airline."
28-04-2025,Akasa,The flight was on time and the crew was very friendly.
06-02-2025,Air Asia,"Terrible experience, flight was delayed for hours."
28-04-2025,Indigo,Smooth check-in process and great hospitality.
06-02-2025,Akasa,Smooth check-in process and great hospitality.
06-09-2025,Air India,Lost baggage and no proper response from staff.
31-08-2025,Air India,Food was average but manageable.
08-04-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
01-07-2025,Vistara,Food was average but manageable.
28-01-2025,Air Asia,"Terrible experience, flight was delayed for hours."
01-02-2025,Vistara,Very cramped seating and poor food quality.
25-02-2025,Air India,"Excellent service, very comfortable seating."
18-08-2025,Air India,"Average service, but acceptable for the price."
23-05-2025,Vistara,The flight was on time and the crew was very friendly.
15-08-2025,Akasa,The flight was on time and the crew was very friendly.
08-01-2025,Indigo,"Excellent service, very comfortable seating."
28-07-2025,Vistara,"Average service, but acceptable for the price."
25-07-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
02-01-2025,Vistara,Food was average but manageable.
27-05-2025,Vistara,"Worst experience, would not recommend this airline."
07-09-2025,Air India,Smooth check-in process and great hospitality.
22-04-2025,Indigo,"Worst experience, would not recommend this airline."
01-02-2025,Air Asia,"The flight was okay, nothing exceptional."
26-01-2025,Akasa,"The journey was fine, nothing special."
22-03-2025,Indigo,"Terrible experience, flight was delayed for hours."
06-04-2025,Indigo,"Terrible experience, flight was delayed for hours."
01-05-2025,Vistara,Value for money and pleasant travel experience.
07-05-2025,Akasa,"Terrible experience, flight was delayed for hours."
11-02-2025,Vistara,"Worst experience, would not recommend this airline."
25-09-2025,Spicejet,"Average service, but acceptable for the price."
10-06-2025,Air India,Food was average but manageable.
09-03-2025,Air Asia,Very cramped seating and poor food quality.
23-08-2025,Spicejet,The flight was on time and the crew was very friendly.
23-08-2025,Akasa,"Terrible experience, flight was delayed for hours."
07-02-2025,Akasa,Value for money and pleasant travel experience.
16-05-2025,Air India,"The flight was okay, nothing exceptional."
06-05-2025,Spicejet,"Average service, but acceptable for the price."
13-08-2025,Akasa,Very cramped seating and poor food quality.
28-09-2025,Indigo,"Worst experience, would not recommend this airline."
03-06-2025,Air Asia,"Excellent service, very comfortable seating."
16-05-2025,Indigo,Value for money and pleasant travel experience.
21-03-2025,Spicejet,"The journey was fine, nothing special."
18-04-2025,Air Asia,"Average service, but acceptable for the price."
16-05-2025,Akasa,"Decent experience, could be better."
27-01-2025,Indigo,Unhelpful staff and uncomfortable journey.
22-05-2025,Indigo,Smooth check-in process and great hospitality.
08-03-2025,Air Asia,"Average service, but acceptable for the price."
15-08-2025,Akasa,Unhelpful staff and uncomfortable journey.
05-01-2025,Indigo,"Excellent service, very comfortable seating."
19-01-2025,Spicejet,"Worst experience, would not recommend this airline."
17-03-2025,Vistara,The flight was on time and the crew was very friendly.
07-06-2025,Spicejet,Smooth check-in process and great hospitality.
18-04-2025,Air Asia,The flight was on time and the crew was very friendly.
01-07-2025,Akasa,"The journey was fine, nothing special."
21-03-2025,Air India,"Excellent service, very comfortable seating."
31-07-2025,Indigo,Smooth check-in process and great hospitality.
30-07-2025,Air Asia,Lost baggage and no proper response from staff.
17-05-2025,Air India,"Terrible experience, flight was delayed for hours."
15-07-2025,Indigo,"Average service, but acceptable for the price."
13-04-2025,Vistara,"Decent experience, could be better."
27-04-2025,Air India,"Excellent service, very comfortable seating."
24-07-2025,Spicejet,"The flight was okay, nothing exceptional."
23-05-2025,Spicejet,"Worst experience, would not recommend this airline."
24-07-2025,Air Asia,Very cramped seating and poor food quality.
15-01-2025,Indigo,"Average service, but acceptable for the price."
16-05-2025,Indigo,Value for money and pleasant travel experience.
11-08-2025,Spicejet,Very cramped seating and poor food quality.
12-08-2025,Akasa,"Terrible experience, flight was delayed for hours."
17-07-2025,Akasa,Smooth check-in process and great hospitality.
23-01-2025,Air Asia,"The flight was okay, nothing exceptional."
24-09-2025,Akasa,Lost baggage and no proper response from staff.
06-07-2025,Vistara,Smooth check-in process and great hospitality.
10-06-2025,Air Asia,Smooth check-in process and great hospitality.
17-09-2025,Spicejet,Unhelpful staff and uncomfortable journey.
17-06-2025,Vistara,Very cramped seating and poor food quality.
07-03-2025,Air India,Food was average but manageable.
31-03-2025,Akasa,Very cramped seating and poor food quality.
27-07-2025,Akasa,Smooth check-in process and great hospitality.
27-05-2025,Air India,"The journey was fine, nothing special."
14-06-2025,Vistara,Food was average but manageable.
20-04-2025,Akasa,"Average service, but acceptable for the price."
13-02-2025,Spicejet,"Worst experience, would not recommend this airline."
21-06-2025,Indigo,Smooth check-in process and great hospitality.
26-04-2025,Air India,The flight was on time and the crew was very friendly.
24-01-2025,Air India,"The journey was fine, nothing special."
07-02-2025,Vistara,"The journey was fine, nothing special."
10-04-2025,Air Asia,Unhelpful staff and uncomfortable journey.
11-09-2025,Vistara,"Excellent service, very comfortable seating."
03-01-2025,Indigo,"Average service, but acceptable for the price."
01-04-2025,Air Asia,Unhelpful staff and uncomfortable journey.
26-01-2025,Akasa,The flight was on time and the crew was very friendly.
22-08-2025,Air India,"The journey was fine, nothing special."
12-06-2025,Vistara,"Worst experience, would not recommend this airline."
07-08-2025,Akasa,"Average service, but acceptable for the price."
01-09-2025,Vistara,"Average service, but acceptable for the price."
22-05-2025,Akasa,"Average service, but acceptable for the price."
21-05-2025,Vistara,Smooth check-in process and great hospitality.
01-05-2025,Spicejet,"Decent experience, could be better."
11-02-2025,Air India,"Excellent service, very comfortable seating."
16-07-2025,Air Asia,"Excellent service, very comfortable seating."
02-02-2025,Vistara,"Decent experience, could be better."
27-08-2025,Vistara,"Excellent service, very comfortable seating."
04-08-2025,Vistara,"Terrible experience, flight was delayed for hours."
14-07-2025,Vistara,Smooth check-in process and great hospitality.
02-06-2025,Vistara,"The journey was fine, nothing special."
23-04-2025,Vistara,Smooth check-in process and great hospitality.
12-08-2025,Vistara,"Cabin crew was polite and helpful, enjoyed the journey."
22-06-2025,Air Asia,Unhelpful staff and uncomfortable journey.
26-03-2025,Vistara,Value for money and pleasant travel experience.
14-01-2025,Vistara,"Worst experience, would not recommend this airline."
14-01-2025,Indigo,Unhelpful staff and uncomfortable journey.
11-03-2025,Vistara,The flight was on time and the crew was very friendly.
14-05-2025,Vistara,"Average service, but acceptable for the price."
21-08-2025,Spicejet,Food was average but manageable.
23-05-2025,Vistara,"The flight was okay, nothing exceptional."
29-08-2025,Indigo,"Worst experience, would not recommend this airline."
27-01-2025,Spicejet,The flight was on time and the crew was very friendly.
21-01-2025,Indigo,"Excellent service, very comfortable seating."
11-01-2025,Akasa,"Excellent service, very comfortable seating."
06-03-2025,Vistara,"Terrible experience, flight was delayed for hours."
22-04-2025,Vistara,Very cramped seating and poor food quality.
08-07-2025,Air India,"Worst experience, would not recommend this airline."
28-02-2025,Air India,"The flight was okay, nothing exceptional."
14-01-2025,Spicejet,Unhelpful staff and uncomfortable journey.
23-07-2025,Air Asia,The flight was on time and the crew was very friendly.
05-05-2025,Indigo,Very cramped seating and poor food quality.
03-03-2025,Akasa,Smooth check-in process and great hospitality.
08-08-2025,Air Asia,"The flight was okay, nothing exceptional."
17-09-2025,Air Asia,"The flight was okay, nothing exceptional."
04-08-2025,Vistara,"Cabin crew was polite and helpful, enjoyed the journey."
05-07-2025,Air Asia,"Average service, but acceptable for the price."
11-08-2025,Air India,"Worst experience, would not recommend this airline."
19-05-2025,Akasa,Unhelpful staff and uncomfortable journey.
27-08-2025,Vistara,"Worst experience, would not recommend this airline."
18-05-2025,Spicejet,The flight was on time and the crew was very friendly.
23-05-2025,Vistara,"Cabin crew was polite and helpful, enjoyed the journey."
14-07-2025,Spicejet,"Cabin crew was polite and helpful, enjoyed the journey."
16-06-2025,Air India,"Average service, but acceptable for the price."
01-07-2025,Spicejet,"Decent experience, could be better."
22-05-2025,Akasa,Value for money and pleasant travel experience.
08-04-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
08-09-2025,Akasa,"Cabin crew was polite and helpful, enjoyed the journey."
09-09-2025,Vistara,The flight was on time and the crew was very friendly.
31-05-2025,Air India,"Average service, but acceptable for the price."
06-06-2025,Air Asia,Very cramped seating and poor food quality.
31-08-2025,Akasa,Very cramped seating and poor food quality.
06-08-2025,Air Asia,Very cramped seating and poor food quality.
30-06-2025,Air Asia,"Decent experience, could be better."
06-06-2025,Spicejet,The flight was on time and the crew was very friendly.
09-04-2025,Spicejet,Value for money and pleasant travel experience.
05-04-2025,Air India,"Cabin crew was polite and helpful, enjoyed the journey."
22-05-2025,Air Asia,"Worst experience, would not recommend this airline."
25-05-2025,Indigo,Smooth check-in process and great hospitality.
27-04-2025,Spicejet,Smooth check-in process and great hospitality.
08-01-2025,Air Asia,Lost baggage and no proper response from staff.
21-05-2025,Indigo,Value for money and pleasant travel experience.
30-05-2025,Air Asia,"Cabin crew was polite and helpful, enjoyed the journey."
22-02-2025,Indigo,Very cramped seating and poor food quality.
29-08-2025,Vistara,"Decent experience, could be better."
05-04-2025,Indigo,Food was average but manageable.
28-02-2025,Indigo,Food was average but manageable.
07-02-2025,Akasa,"Terrible experience, flight was delayed for hours."
19-03-2025,Air India,Very cramped seating and poor food quality.
13-02-2025,Air India,Value for money and pleasant travel experience.
02-08-2025,Akasa,"Worst experience, would not recommend this airline."
26-04-2025,Akasa,Food was average but manageable.
15-08-2025,Spicejet,Unhelpful staff and uncomfortable journey.
06-06-2025,Akasa,"Terrible experience, flight was delayed for hours."
20-02-2025,Air India,Lost baggage and no proper response from staff.
16-05-2025,Air Asia,"Excellent service, very comfortable seating."
03-05-2025,Air India,"Terrible experience, flight was delayed for hours."
22-03-2025,Indigo,Food was average but manageable.
29-08-2025,Spicejet,"Excellent service, very comfortable seating."
28-05-2025,Air Asia,Food was average but manageable.
06-02-2025,Air Asia,Smooth check-in process and great hospitality.
12-04-2025,Vistara,Value for money and pleasant travel experience.
26-04-2025,Air Asia,Smooth check-in process and great hospitality.
14-03-2025,Indigo,"Excellent service, very comfortable seating."
07-06-2025,Akasa,"Worst experience, would not recommend this airline."
28-05-2025,Vistara,"Cabin crew was polite and helpful, enjoyed the journey."
05-06-2025,Air Asia,"Decent experience, could be better."
14-09-2025,Akasa,Food was average but manageable.
11-02-2025,Akasa,"Cabin crew was polite and helpful, enjoyed the journey."
15-06-2025,Akasa,"The flight was okay, nothing exceptional."
16-02-2025,Air India,"Worst experience, would not recommend this airline."
11-01-2025,Air Asia,"The journey was fine, nothing special."
21-01-2025,Air India,"The journey was fine, nothing special."
15-08-2025,Spicejet,Value for money and pleasant travel experience.
12-08-2025,Air Asia,"The flight was okay, nothing exceptional."
29-08-2025,Spicejet,"Decent experience, could be better."
14-06-2025,Air Asia,"Excellent service, very comfortable seating."
18-06-2025,Vistara,Unhelpful staff and uncomfortable journey.
28-05-2025,Air Asia,"The journey was fine, nothing special."
19-01-2025,Vistara,Smooth check-in process and great hospitality.
10-05-2025,Spicejet,"Cabin crew was polite and helpful, enjoyed the journey."
21-09-2025,Indigo,"Worst experience, would not recommend this airline."
25-08-2025,Vistara,"Excellent service, very comfortable seating."
23-09-2025,Spicejet,Unhelpful staff and uncomfortable journey.
15-08-2025,Indigo,Smooth check-in process and great hospitality.
09-03-2025,Spicejet,Food was average but manageable.
04-03-2025,Indigo,"Worst experience, would not recommend this airline."
03-05-2025,Air Asia,Smooth check-in process and great hospitality.
08-01-2025,Akasa,"The flight was okay, nothing exceptional."
26-04-2025,Indigo,"The flight was okay, nothing exceptional."
20-03-2025,Vistara,Very cramped seating and poor food quality.
18-09-2025,Air Asia,Food was average but manageable.
05-09-2025,Vistara,"Cabin crew was polite and helpful, enjoyed the journey."
16-03-2025,Vistara,Value for money and pleasant travel experience.
18-09-2025,Air Asia,The flight was on time and the crew was very friendly.
22-05-2025,Vistara,"The journey was fine, nothing special."
17-05-2025,Indigo,"Decent experience, could be better."
08-09-2025,Air India,"The journey was fine, nothing special."
05-09-2025,Spicejet,"The journey was fine, nothing special."
13-07-2025,Vistara,"Average service, but acceptable for the price."
03-05-2025,Akasa,"Average service, but acceptable for the price."
30-07-2025,Indigo,Food was average but manageable.
15-07-2025,Vistara,Lost baggage and no proper response from staff.
11-09-2025,Indigo,Value for money and pleasant travel experience.
19-06-2025,Indigo,"The flight was okay, nothing exceptional."
27-09-2025,Vistara,"Excellent service, very comfortable seating."
29-07-2025,Air Asia,The flight was on time and the crew was very friendly.
29-08-2025,Spicejet,"The journey was fine, nothing special."
23-07-2025,Air Asia,Smooth check-in process and great hospitality.
14-07-2025,Spicejet,Unhelpful staff and uncomfortable journey.
19-01-2025,Akasa,"Excellent service, very comfortable seating."
28-05-2025,Air India,"Terrible experience, flight was delayed for hours."
11-08-2025,Indigo,"Terrible experience, flight was delayed for hours."
16-08-2025,Air India,Very cramped seating and poor food quality.
15-01-2025,Indigo,"The flight was okay, nothing exceptional."
31-05-2025,Spicejet,Food was average but manageable.
16-03-2025,Air India,Unhelpful staff and uncomfortable journey.
03-04-2025,Air India,The flight was on time and the crew was very friendly.
15-07-2025,Akasa,Lost baggage and no proper response from staff.
12-09-2025,Akasa,"Excellent service, very comfortable seating."
25-08-2025,Air Asia,Food was average but manageable.
11-05-2025,Air Asia,"Cabin crew was polite and helpful, enjoyed the journey."
28-05-2025,Air Asia,Lost baggage and no proper response from staff.
07-02-2025,Vistara,"The journey was fine, nothing special."
03-06-2025,Air Asia,"Decent experience, could be better."
22-08-2025,Spicejet,"Cabin crew was polite and helpful, enjoyed the journey."
05-09-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
03-07-2025,Akasa,"Decent experience, could be better."
12-01-2025,Air Asia,"Decent experience, could be better."
05-01-2025,Akasa,"Terrible experience, flight was delayed for hours."
12-09-2025,Spicejet,Value for money and pleasant travel experience.
30-06-2025,Air India,Lost baggage and no proper response from staff.
09-05-2025,Air Asia,Lost baggage and no proper response from staff.
19-02-2025,Air Asia,"Terrible experience, flight was delayed for hours."
08-06-2025,Vistara,Value for money and pleasant travel experience.
06-07-2025,Air Asia,The flight was on time and the crew was very friendly.
01-06-2025,Spicejet,Unhelpful staff and uncomfortable journey.
31-03-2025,Air India,Value for money and pleasant travel experience.
07-07-2025,Akasa,Very cramped seating and poor food quality.
26-03-2025,Spicejet,"Decent experience, could be better."
23-06-2025,Indigo,"The flight was okay, nothing exceptional."
14-03-2025,Air India,Unhelpful staff and uncomfortable journey.
07-07-2025,Indigo,"The flight was okay, nothing exceptional."
16-05-2025,Akasa,"Cabin crew was polite and helpful, enjoyed the journey."
08-07-2025,Air Asia,Very cramped seating and poor food quality.
15-07-2025,Air Asia,"The flight was okay, nothing exceptional."
30-04-2025,Vistara,Value for money and pleasant travel experience.
17-06-2025,Akasa,The flight was on time and the crew was very friendly.
26-08-2025,Air Asia,Food was average but manageable.
01-03-2025,Air India,The flight was on time and the crew was very friendly.
05-06-2025,Vistara,The flight was on time and the crew was very friendly.
01-05-2025,Akasa,"Cabin crew was polite and helpful, enjoyed the journey."
21-08-2025,Spicejet,"Worst experience, would not recommend this airline."
03-08-2025,Akasa,Lost baggage and no proper response from staff.
01-08-2025,Air Asia,"Cabin crew was polite and helpful, enjoyed the journey."
28-07-2025,Spicejet,Smooth check-in process and great hospitality.
22-04-2025,Vistara,"Average service, but acceptable for the price."
05-07-2025,Indigo,Very cramped seating and poor food quality.
03-07-2025,Indigo,"Decent experience, could be better."
08-04-2025,Indigo,"The flight was okay, nothing exceptional."
19-04-2025,Air Asia,"Worst experience, would not recommend this airline."
11-01-2025,Indigo,"Average service, but acceptable for the price."
06-03-2025,Akasa,The flight was on time and the crew was very friendly.
17-04-2025,Akasa,"Excellent service, very comfortable seating."
18-06-2025,Air India,"Terrible experience, flight was delayed for hours."
22-05-2025,Air India,Value for money and pleasant travel experience.
09-05-2025,Air India,The flight was on time and the crew was very friendly.
