date,airline,text
09-03-2025,Indigo,"Average service, but acceptable for the price."
15-06-2025,Indigo,Smooth check-in process and great hospitality.
27-01-2025,Air India,Unhelpful staff and uncomfortable journey.
27-09-2025,Indigo,"Terrible experience, flight was delayed for hours."
01-09-2025,Vistara,"The journey was fine, nothing special."
25-02-2025,Vistara,Lost baggage and no proper response from staff.
23-01-2025,Air Asia,"Worst experience, would not recommend this airline."
04-06-2025,Vistara,"Terrible experience, flight was delayed for hours."
01-02-2025,Vistara,Food was average but manageable.
25-02-2025,Vistara,Unhelpful staff and uncomfortable journey.
07-02-2025,Indigo,"The journey was fine, nothing special."
17-03-2025,Indigo,Smooth check-in process and great hospitality.
16-06-2025,Vistara,"Worst experience, would not recommend this airline."
31-05-2025,Vistara,"Worst experience, would not recommend this airline."
09-08-2025,Indigo,"Terrible experience, flight was delayed for hours."
21-04-2025,Vistara,"Average service, but acceptable for the price."
31-07-2025,Spicejet,Food was average but manageable.
01-08-2025,Air Asia,Smooth check-in process and great hospitality.
07-08-2025,Spicejet,Very cramped seating and poor food quality.
11-07-2025,Air India,Unhelpful staff and uncomfortable journey.
04-02-2025,Indigo,The flight was on time and the crew was very friendly.
10-08-2025,Indigo,Very cramped seating and poor food quality.
08-03-2025,Akasa,Value for money and pleasant travel experience.
18-06-2025,Air Asia,"Cabin crew was polite and helpful, enjoyed the journey."
01-07-2025,Air Asia,"The flight was okay, nothing exceptional."
28-05-2025,Akasa,"Decent experience, could be better."
23-02-2025,Akasa,Lost baggage and no proper response from staff.
21-03-2025,Air Asia,"Average service, but acceptable for the price."
25-02-2025,Spicejet,Very cramped seating and poor food quality.
28-02-2025,Spicejet,Lost baggage and no proper response from staff.
08-08-2025,Akasa,"Worst experience, would not recommend this airline."
14-01-2025,Akasa,Very cramped seating and poor food quality.
15-01-2025,Air India,"Decent experience, could be better."
23-06-2025,Spicejet,"Excellent service, very comfortable seating."
15-03-2025,Akasa,Unhelpful staff and uncomfortable journey.
05-02-2025,Air India,"Terrible experience, flight was delayed for hours."
16-02-2025,Air Asia,Lost baggage and no proper response from staff.
12-07-2025,Vistara,"Decent experience, could be better."
22-03-2025,Spicejet,"Decent experience, could be better."
13-02-2025,Indigo,"Excellent service, very comfortable seating."
26-01-2025,Air Asia,Smooth check-in process and great hospitality.
15-08-2025,Air Asia,Food was average but manageable.
15-08-2025,Vistara,"Average service, but acceptable for the price."
20-09-2025,Indigo,Food was average but manageable.
26-02-2025,Spicejet,"Worst experience, would not recommend this airline."
07-09-2025,Akasa,Very cramped seating and poor food quality.
24-01-2025,Air India,"The journey was fine, nothing special."
29-01-2025,Indigo,Smooth check-in process and great hospitality.
19-04-2025,Air India,"Decent experience, could be better."
17-06-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
09-08-2025,Air India,"Cabin crew was polite and helpful, enjoyed the journey."
28-04-2025,Akasa,Very cramped seating and poor food quality.
06-02-2025,Vistara,"Terrible experience, flight was delayed for hours."
12-08-2025,Indigo,"The flight was okay, nothing exceptional."
10-06-2025,Akasa,"The journey was fine, nothing special."
27-07-2025,Air Asia,Unhelpful staff and uncomfortable journey.
29-05-2025,Indigo,"The flight was okay, nothing exceptional."
16-06-2025,Air India,Unhelpful staff and uncomfortable journey.
05-07-2025,Indigo,"The flight was okay, nothing exceptional."
05-05-2025,Vistara,Unhelpful staff and uncomfortable journey.
26-09-2025,Indigo,"Decent experience, could be better."
23-06-2025,Air India,"Average service, but acceptable for the price."
09-02-2025,Akasa,"Terrible experience, flight was delayed for hours."
19-09-2025,Air India,"Decent experience, could be better."
17-03-2025,Air India,"Excellent service, very comfortable seating."
12-05-2025,Air India,Value for money and pleasant travel experience.
20-03-2025,Air Asia,"Excellent service, very comfortable seating."
10-09-2025,Vistara,"Worst experience, would not recommend this airline."
18-08-2025,Air Asia,"Worst experience, would not recommend this airline."
15-06-2025,Air Asia,"Average service, but acceptable for the price."
14-08-2025,Indigo,Food was average but manageable.
05-06-2025,Spicejet,"Terrible experience, flight was delayed for hours."
30-06-2025,Akasa,Smooth check-in process and great hospitality.
25-08-2025,Vistara,The flight was on time and the crew was very friendly.
08-07-2025,Spicejet,The flight was on time and the crew was very friendly.
17-09-2025,Vistara,"The journey was fine, nothing special."
22-01-2025,Vistara,Lost baggage and no proper response from staff.
14-06-2025,Akasa,"The journey was fine, nothing special."
19-03-2025,Indigo,"The flight was okay, nothing exceptional."
25-06-2025,Air Asia,Value for money and pleasant travel experience.
30-03-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
13-08-2025,Akasa,"Worst experience, would not recommend this airline."
23-03-2025,Spicejet,"Decent experience, could be better."
18-07-2025,Vistara,"The journey was fine, nothing special."
27-01-2025,Air Asia,Very cramped seating and poor food quality.
03-02-2025,Spicejet,Value for money and pleasant travel experience.
17-07-2025,Spicejet,"The journey was fine, nothing special."
18-03-2025,Spicejet,Value for money and pleasant travel experience.
14-03-2025,Spicejet,Food was average but manageable.
08-03-2025,Akasa,"Terrible experience, flight was delayed for hours."
08-06-2025,Akasa,"Decent experience, could be better."
07-03-2025,Air Asia,"Worst experience, would not recommend this airline."
17-02-2025,Air Asia,Unhelpful staff and uncomfortable journey.
18-09-2025,Spicejet,Smooth check-in process and great hospitality.
08-06-2025,Air India,Smooth check-in process and great hospitality.
06-09-2025,Air India,"Excellent service, very comfortable seating."
21-03-2025,Indigo,"The flight was okay, nothing exceptional."
17-09-2025,Akasa,"Worst experience, would not recommend this airline."
20-01-2025,Air Asia,"The journey was fine, nothing special."
09-03-2025,Akasa,"Average service, but acceptable for the price."
25-03-2025,Air India,"Worst experience, would not recommend this airline."
26-03-2025,Air Asia,"The flight was okay, nothing exceptional."
30-07-2025,Spicejet,Lost baggage and no proper response from staff.
16-08-2025,Akasa,Food was average but manageable.
30-04-2025,Akasa,Smooth check-in process and great hospitality.
29-08-2025,Air India,"The journey was fine, nothing special."
14-08-2025,Vistara,Food was average but manageable.
15-09-2025,Akasa,"Average service, but acceptable for the price."
13-04-2025,Akasa,Smooth check-in process and great hospitality.
27-01-2025,Air Asia,"Decent experience, could be better."
22-02-2025,Air Asia,"Terrible experience, flight was delayed for hours."
26-05-2025,Indigo,Smooth check-in process and great hospitality.
19-08-2025,Akasa,"Cabin crew was polite and helpful, enjoyed the journey."
16-02-2025,Air India,"Decent experience, could be better."
14-01-2025,Vistara,"Cabin crew was polite and helpful, enjoyed the journey."
15-09-2025,Spicejet,"Cabin crew was polite and helpful, enjoyed the journey."
11-02-2025,Spicejet,The flight was on time and the crew was very friendly.
13-06-2025,Indigo,Very cramped seating and poor food quality.
16-03-2025,Air India,Smooth check-in process and great hospitality.
30-08-2025,Air Asia,"Cabin crew was polite and helpful, enjoyed the journey."
18-08-2025,Akasa,The flight was on time and the crew was very friendly.
10-01-2025,Spicejet,"Excellent service, very comfortable seating."
28-09-2025,Vistara,Smooth check-in process and great hospitality.
02-05-2025,Spicejet,The flight was on time and the crew was very friendly.
03-05-2025,Vistara,"Worst experience, would not recommend this airline."
23-08-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
09-01-2025,Air Asia,"Worst experience, would not recommend this airline."
04-05-2025,Air Asia,Smooth check-in process and great hospitality.
08-08-2025,Indigo,Very cramped seating and poor food quality.
04-05-2025,Akasa,"Average service, but acceptable for the price."
13-02-2025,Akasa,"The flight was okay, nothing exceptional."
27-09-2025,Akasa,"Worst experience, would not recommend this airline."
11-01-2025,Vistara,"The flight was okay, nothing exceptional."
18-07-2025,Spicejet,"The flight was okay, nothing exceptional."
02-07-2025,Indigo,"Average service, but acceptable for the price."
23-02-2025,Akasa,Very cramped seating and poor food quality.
10-03-2025,Indigo,"The journey was fine, nothing special."
23-06-2025,Air Asia,"Cabin crew was polite and helpful, enjoyed the journey."
03-09-2025,Air Asia,"Excellent service, very comfortable seating."
02-02-2025,Air Asia,"The flight was okay, nothing exceptional."
31-05-2025,Air India,"Excellent service, very comfortable seating."
22-01-2025,Spicejet,"The journey was fine, nothing special."
23-07-2025,Akasa,"Decent experience, could be better."
19-01-2025,Air Asia,Smooth check-in process and great hospitality.
02-07-2025,Indigo,Very cramped seating and poor food quality.
20-05-2025,Indigo,Food was average but manageable.
24-07-2025,Air Asia,Food was average but manageable.
23-06-2025,Air India,Food was average but manageable.
08-07-2025,Akasa,"The flight was okay, nothing exceptional."
06-08-2025,Indigo,"The journey was fine, nothing special."
03-04-2025,Akasa,"Decent experience, could be better."
22-02-2025,Indigo,"Decent experience, could be better."
06-06-2025,Vistara,Unhelpful staff and uncomfortable journey.
27-03-2025,Air Asia,"Decent experience, could be better."
17-08-2025,Indigo,Very cramped seating and poor food quality.
11-08-2025,Spicejet,"Terrible experience, flight was delayed for hours."
08-02-2025,Air Asia,Unhelpful staff and uncomfortable journey.
06-07-2025,Akasa,Lost baggage and no proper response from staff.
16-01-2025,Air India,Unhelpful staff and uncomfortable journey.
18-01-2025,Air India,"Excellent service, very comfortable seating."
07-07-2025,Spicejet,"The journey was fine, nothing special."
17-01-2025,Akasa,"Cabin crew was polite and helpful, enjoyed the journey."
09-07-2025,Spicejet,"The flight was okay, nothing exceptional."
12-03-2025,Akasa,Food was average but manageable.
10-06-2025,Air Asia,"Average service, but acceptable for the price."
28-02-2025,Indigo,Lost baggage and no proper response from staff.
13-09-2025,Akasa,"The journey was fine, nothing special."
02-03-2025,Spicejet,Food was average but manageable.
20-04-2025,Akasa,Food was average but manageable.
13-04-2025,Indigo,The flight was on time and the crew was very friendly.
20-08-2025,Air India,Unhelpful staff and uncomfortable journey.
14-02-2025,Air Asia,"Decent experience, could be better."
03-02-2025,Akasa,Very cramped seating and poor food quality.
03-06-2025,Air India,Lost baggage and no proper response from staff.
05-07-2025,Akasa,The flight was on time and the crew was very friendly.
13-04-2025,Air India,"Cabin crew was polite and helpful, enjoyed the journey."
14-01-2025,Spicejet,"Worst experience, would not recommend this airline."
08-07-2025,Vistara,Lost baggage and no proper response from staff.
14-02-2025,Indigo,Food was average but manageable.
03-09-2025,Akasa,Food was average but manageable.
07-02-2025,Air India,"The flight was okay, nothing exceptional."
19-08-2025,Vistara,"Worst experience, would not recommend this airline."
26-06-2025,Air India,"Worst experience, would not recommend this airline."
04-04-2025,Air India,"The journey was fine, nothing special."
29-01-2025,Indigo,Lost baggage and no proper response from staff.
05-06-2025,Air India,Smooth check-in process and great hospitality.
26-04-2025,Spicejet,Very cramped seating and poor food quality.
10-02-2025,Spicejet,Value for money and pleasant travel experience.
21-05-2025,Air India,Very cramped seating and poor food quality.
17-02-2025,Akasa,Lost baggage and no proper response from staff.
20-03-2025,Air India,"Worst experience, would not recommend this airline."
22-06-2025,Akasa,The flight was on time and the crew was very friendly.
11-02-2025,Indigo,"Worst experience, would not recommend this airline."
16-05-2025,Air Asia,Value for money and pleasant travel experience.
02-08-2025,Akasa,"Terrible experience, flight was delayed for hours."
12-09-2025,Air Asia,Very cramped seating and poor food quality.
04-06-2025,Vistara,"Cabin crew was polite and helpful, enjoyed the journey."
02-06-2025,Vistara,The flight was on time and the crew was very friendly.
22-03-2025,Vistara,Food was average but manageable.
26-08-2025,Air India,"The journey was fine, nothing special."
15-03-2025,Spicejet,Very cramped seating and poor food quality.
26-06-2025,Vistara,Smooth check-in process and great hospitality.
21-09-2025,Akasa,Smooth check-in process and great hospitality.
04-05-2025,Vistara,Smooth check-in process and great hospitality.
19-08-2025,Air India,The flight was on time and the crew was very friendly.
26-01-2025,Spicejet,"The journey was fine, nothing special."
03-08-2025,Air India,Smooth check-in process and great hospitality.
10-06-2025,Air India,"Cabin crew was polite and helpful, enjoyed the journey."
21-09-2025,Vistara,"Decent experience, could be better."
12-09-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
16-09-2025,Vistara,"Excellent service, very comfortable seating."
30-06-2025,Indigo,Smooth check-in process and great hospitality.
11-09-2025,Akasa,Unhelpful staff and uncomfortable journey.
27-05-2025,Akasa,The flight was on time and the crew was very friendly.
09-08-2025,Air India,"Decent experience, could be better."
26-07-2025,Spicejet,"Cabin crew was polite and helpful, enjoyed the journey."
27-01-2025,Akasa,Lost baggage and no proper response from staff.
05-07-2025,Akasa,"The flight was okay, nothing exceptional."
17-07-2025,Akasa,"The journey was fine, nothing special."
24-05-2025,Akasa,"Worst experience, would not recommend this airline."
02-03-2025,Air India,"Cabin crew was polite and helpful, enjoyed the journey."
11-07-2025,Spicejet,Very cramped seating and poor food quality.
15-03-2025,Air India,"Worst experience, would not recommend this airline."
25-07-2025,Akasa,The flight was on time and the crew was very friendly.
20-01-2025,Air India,Very cramped seating and poor food quality.
31-08-2025,Akasa,"Average service, but acceptable for the price."
21-09-2025,Air India,"The journey was fine, nothing special."
13-06-2025,Air India,"The journey was fine, nothing special."
03-06-2025,Akasa,"The journey was fine, nothing special."
18-09-2025,Akasa,"The journey was fine, nothing special."
03-06-2025,Vistara,Smooth check-in process and great hospitality.
19-06-2025,Air Asia,"Cabin crew was polite and helpful, enjoyed the journey."
07-06-2025,Air Asia,"Terrible experience, flight was delayed for hours."
31-08-2025,Spicejet,"Worst experience, would not recommend this airline."
27-04-2025,Air Asia,Value for money and pleasant travel experience.
03-09-2025,Air India,"Worst experience, would not recommend this airline."
14-07-2025,Air India,Lost baggage and no proper response from staff.
17-01-2025,Akasa,"Terrible experience, flight was delayed for hours."
08-04-2025,Indigo,"Decent experience, could be better."
03-08-2025,Air India,"Average service, but acceptable for the price."
30-07-2025,Akasa,Unhelpful staff and uncomfortable journey.
01-02-2025,Air Asia,Value for money and pleasant travel experience.
17-04-2025,Akasa,Food was average but manageable.
27-09-2025,Vistara,"Average service, but acceptable for the price."
24-08-2025,Akasa,"The journey was fine, nothing special."
01-07-2025,Air Asia,Very cramped seating and poor food quality.
05-09-2025,Air India,Smooth check-in process and great hospitality.
02-06-2025,Air India,"Decent experience, could be better."
17-04-2025,Air Asia,Unhelpful staff and uncomfortable journey.
12-06-2025,Vistara,"The journey was fine, nothing special."
21-05-2025,Spicejet,Value for money and pleasant travel experience.
14-07-2025,Vistara,"Average service, but acceptable for the price."
29-05-2025,Indigo,"The flight was okay, nothing exceptional."
27-06-2025,Vistara,Very cramped seating and poor food quality.
03-09-2025,Air India,Value for money and pleasant travel experience.
19-05-2025,Akasa,Very cramped seating and poor food quality.
12-03-2025,Indigo,"Worst experience, would not recommend this airline."
03-05-2025,Air India,Value for money and pleasant travel experience.
26-04-2025,Air Asia,The flight was on time and the crew was very friendly.
21-02-2025,Vistara,Food was average but manageable.
21-02-2025,Air Asia,The flight was on time and the crew was very friendly.
22-03-2025,Vistara,Unhelpful staff and uncomfortable journey.
02-09-2025,Air Asia,Smooth check-in process and great hospitality.
14-06-2025,Spicejet,"Terrible experience, flight was delayed for hours."
15-02-2025,Air Asia,Lost baggage and no proper response from staff.
20-01-2025,Air India,"Average service, but acceptable for the price."
19-01-2025,Vistara,"Average service, but acceptable for the price."
29-05-2025,Indigo,Smooth check-in process and great hospitality.
24-02-2025,Spicejet,Food was average but manageable.
26-09-2025,Vistara,Value for money and pleasant travel experience.
28-08-2025,Spicejet,The flight was on time and the crew was very friendly.
19-06-2025,Air India,Unhelpful staff and uncomfortable journey.
12-05-2025,Air Asia,The flight was on time and the crew was very friendly.
22-06-2025,Spicejet,Lost baggage and no proper response from staff.
31-03-2025,Akasa,Unhelpful staff and uncomfortable journey.
07-08-2025,Akasa,"The flight was okay, nothing exceptional."
25-07-2025,Air Asia,"Excellent service, very comfortable seating."
13-03-2025,Vistara,"Average service, but acceptable for the price."
04-01-2025,Spicejet,"Average service, but acceptable for the price."
17-08-2025,Spicejet,"Decent experience, could be better."
06-01-2025,Spicejet,Very cramped seating and poor food quality.
01-05-2025,Indigo,"Terrible experience, flight was delayed for hours."
27-08-2025,Spicejet,"Cabin crew was polite and helpful, enjoyed the journey."
15-09-2025,Air Asia,"The flight was okay, nothing exceptional."
01-06-2025,Spicejet,Lost baggage and no proper response from staff.
23-04-2025,Air India,"Average service, but acceptable for the price."
21-08-2025,Air Asia,Very cramped seating and poor food quality.
01-08-2025,Air Asia,Unhelpful staff and uncomfortable journey.
22-04-2025,Air India,"Worst experience, would not recommend this airline."
11-02-2025,Akasa,"The journey was fine, nothing special."
05-07-2025,Indigo,"Terrible experience, flight was delayed for hours."
01-02-2025,Akasa,Lost baggage and no proper response from staff.
18-03-2025,Air India,"The journey was fine, nothing special."
15-08-2025,Indigo,Lost baggage and no proper response from staff.
08-09-2025,Indigo,Unhelpful staff and uncomfortable journey.
29-01-2025,Vistara,Value for money and pleasant travel experience.
01-08-2025,Vistara,"Terrible experience, flight was delayed for hours."
25-08-2025,Air Asia,"The flight was okay, nothing exceptional."
22-07-2025,Spicejet,"Excellent service, very comfortable seating."
07-02-2025,Indigo,"Decent experience, could be better."
02-02-2025,Akasa,The flight was on time and the crew was very friendly.
30-08-2025,Indigo,Food was average but manageable.
03-04-2025,Air India,Unhelpful staff and uncomfortable journey.
11-07-2025,Vistara,Food was average but manageable.
12-07-2025,Indigo,"Worst experience, would not recommend this airline."
10-03-2025,Air Asia,"The flight was okay, nothing exceptional."
02-04-2025,Akasa,"The journey was fine, nothing special."
07-03-2025,Air Asia,The flight was on time and the crew was very friendly.
12-01-2025,Spicejet,"The journey was fine, nothing special."
06-08-2025,Akasa,"Average service, but acceptable for the price."
07-05-2025,Vistara,"Average service, but acceptable for the price."
22-05-2025,Air India,"Terrible experience, flight was delayed for hours."
17-01-2025,Air Asia,"The journey was fine, nothing special."
09-01-2025,Air India,The flight was on time and the crew was very friendly.
21-02-2025,Akasa,"Cabin crew was polite and helpful, enjoyed the journey."
25-01-2025,Air India,"Terrible experience, flight was delayed for hours."
25-07-2025,Vistara,Value for money and pleasant travel experience.
22-04-2025,Indigo,Value for money and pleasant travel experience.
29-05-2025,Air India,"Worst experience, would not recommend this airline."
13-06-2025,Akasa,Very cramped seating and poor food quality.
02-05-2025,Spicejet,Value for money and pleasant travel experience.
24-04-2025,Vistara,"Decent experience, could be better."
01-02-2025,Akasa,Lost baggage and no proper response from staff.
07-08-2025,Akasa,"The flight was okay, nothing exceptional."
26-06-2025,Air Asia,Unhelpful staff and uncomfortable journey.
26-09-2025,Spicejet,Unhelpful staff and uncomfortable journey.
29-07-2025,Air India,Food was average but manageable.
05-04-2025,Akasa,"Average service, but acceptable for the price."
26-04-2025,Spicejet,Lost baggage and no proper response from staff.
26-08-2025,Indigo,Unhelpful staff and uncomfortable journey.
02-08-2025,Akasa,Lost baggage and no proper response from staff.
18-07-2025,Air India,"Average service, but acceptable for the price."
19-06-2025,Air Asia,"Cabin crew was polite and helpful, enjoyed the journey."
09-07-2025,Indigo,Lost baggage and no proper response from staff.
27-01-2025,Spicejet,"The journey was fine, nothing special."
