date,airline,text
21-01-2025,Indigo,Value for money and pleasant travel experience.
22-04-2025,Vistara,Smooth check-in process and great hospitality.
05-06-2025,Indigo,"Excellent service, very comfortable seating."
02-03-2025,Air Asia,"Average service, but acceptable for the price."
15-04-2025,Vistara,Value for money and pleasant travel experience.
14-06-2025,Spicejet,Food was average but manageable.
03-07-2025,Spicejet,"Decent experience, could be better."
20-09-2025,Vistara,"The flight was okay, nothing exceptional."
29-08-2025,Spicejet,Smooth check-in process and great hospitality.
10-06-2025,Vistara,Value for money and pleasant travel experience.
24-04-2025,Air Asia,The flight was on time and the crew was very friendly.
14-05-2025,Akasa,"Worst experience, would not recommend this airline."
02-08-2025,Spicejet,"Excellent service, very comfortable seating."
18-06-2025,Air India,"The journey was fine, nothing special."
06-05-2025,Vistara,Very cramped seating and poor food quality.
12-05-2025,Vistara,Unhelpful staff and uncomfortable journey.
24-08-2025,Air India,Very cramped seating and poor food quality.
28-03-2025,Air India,"Worst experience, would not recommend this airline."
08-09-2025,Air India,"Terrible experience, flight was delayed for hours."
26-09-2025,Indigo,The flight was on time and the crew was very friendly.
04-01-2025,Vistara,"Excellent service, very comfortable seating."
04-02-2025,Air Asia,The flight was on time and the crew was very friendly.
22-04-2025,Akasa,"Decent experience, could be better."
31-01-2025,Akasa,"Worst experience, would not recommend this airline."
05-09-2025,Air Asia,"The flight was okay, nothing exceptional."
04-01-2025,Akasa,Unhelpful staff and uncomfortable journey.
07-01-2025,Indigo,Very cramped seating and poor food quality.
27-05-2025,Indigo,Unhelpful staff and uncomfortable journey.
02-04-2025,Indigo,Value for money and pleasant travel experience.
18-03-2025,Air India,Value for money and pleasant travel experience.
27-09-2025,Spicejet,"Decent experience, could be better."
23-07-2025,Indigo,Food was average but manageable.
24-08-2025,Akasa,"Excellent service, very comfortable seating."
03-06-2025,Air Asia,The flight was on time and the crew was very friendly.
17-02-2025,Vistara,Food was average but manageable.
01-09-2025,Indigo,"Terrible experience, flight was delayed for hours."
29-03-2025,Indigo,Food was average but manageable.
19-06-2025,Akasa,Value for money and pleasant travel experience.
22-01-2025,Air India,Value for money and pleasant travel experience.
01-09-2025,Spicejet,The flight was on time and the crew was very friendly.
24-05-2025,Akasa,"Terrible experience, flight was delayed for hours."
02-04-2025,Spicejet,"Excellent service, very comfortable seating."
15-03-2025,Air Asia,"The flight was okay, nothing exceptional."
03-06-2025,Air India,Lost baggage and no proper response from staff.
19-07-2025,Air Asia,Very cramped seating and poor food quality.
16-07-2025,Air Asia,The flight was on time and the crew was very friendly.
14-09-2025,Air Asia,"The flight was okay, nothing exceptional."
20-02-2025,Vistara,The flight was on time and the crew was very friendly.
24-06-2025,Akasa,"Worst experience, would not recommend this airline."
23-07-2025,Spicejet,Smooth check-in process and great hospitality.
19-08-2025,Vistara,Smooth check-in process and great hospitality.
12-07-2025,Vistara,Value for money and pleasant travel experience.
14-07-2025,Indigo,Very cramped seating and poor food quality.
07-05-2025,Air Asia,The flight was on time and the crew was very friendly.
18-05-2025,Air India,"Average service, but acceptable for the price."
19-07-2025,Spicejet,"The flight was okay, nothing exceptional."
16-02-2025,Indigo,Food was average but manageable.
04-07-2025,Spicejet,"Excellent service, very comfortable seating."
14-02-2025,Air India,Food was average but manageable.
20-09-2025,Vistara,The flight was on time and the crew was very friendly.
15-02-2025,Spicejet,"Terrible experience, flight was delayed for hours."
16-06-2025,Vistara,Smooth check-in process and great hospitality.
31-07-2025,Vistara,Value for money and pleasant travel experience.
05-05-2025,Akasa,Lost baggage and no proper response from staff.
14-07-2025,Air India,Smooth check-in process and great hospitality.
04-06-2025,Spicejet,"Average service, but acceptable for the price."
02-02-2025,Air India,"Decent experience, could be better."
04-08-2025,Spicejet,"The flight was okay, nothing exceptional."
04-07-2025,Spicejet,"Cabin crew was polite and helpful, enjoyed the journey."
11-04-2025,Vistara,"Excellent service, very comfortable seating."
05-06-2025,Indigo,"Decent experience, could be better."
14-07-2025,Spicejet,"Decent experience, could be better."
09-08-2025,Air Asia,Lost baggage and no proper response from staff.
03-06-2025,Spicejet,Lost baggage and no proper response from staff.
03-09-2025,Spicejet,"Cabin crew was polite and helpful, enjoyed the journey."
13-06-2025,Spicejet,Unhelpful staff and uncomfortable journey.
05-05-2025,Spicejet,"Decent experience, could be better."
21-07-2025,Spicejet,Value for money and pleasant travel experience.
13-04-2025,Akasa,Lost baggage and no proper response from staff.
14-01-2025,Air Asia,"Average service, but acceptable for the price."
13-08-2025,Spicejet,"Terrible experience, flight was delayed for hours."
29-07-2025,Air Asia,"Average service, but acceptable for the price."
05-06-2025,Air India,"Average service, but acceptable for the price."
05-08-2025,Vistara,"Cabin crew was polite and helpful, enjoyed the journey."
03-09-2025,Akasa,"The journey was fine, nothing special."
17-09-2025,Air Asia,"The journey was fine, nothing special."
19-01-2025,Spicejet,"Worst experience, would not recommend this airline."
13-02-2025,Indigo,Smooth check-in process and great hospitality.
27-03-2025,Air Asia,"Terrible experience, flight was delayed for hours."
24-07-2025,Spicejet,"The flight was okay, nothing exceptional."
06-01-2025,Indigo,"Average service, but acceptable for the price."
19-09-2025,Air Asia,"Worst experience, would not recommend this airline."
24-04-2025,Vistara,Food was average but manageable.
26-08-2025,Air Asia,"Worst experience, would not recommend this airline."
19-03-2025,Spicejet,"Cabin crew was polite and helpful, enjoyed the journey."
23-02-2025,Spicejet,"The flight was okay, nothing exceptional."
01-03-2025,Air Asia,Smooth check-in process and great hospitality.
09-06-2025,Spicejet,"Average service, but acceptable for the price."
24-09-2025,Vistara,Food was average but manageable.
19-02-2025,Vistara,Unhelpful staff and uncomfortable journey.
13-06-2025,Indigo,"The flight was okay, nothing exceptional."
28-02-2025,Indigo,"The flight was okay, nothing exceptional."
26-03-2025,Air Asia,Value for money and pleasant travel experience.
31-03-2025,Akasa,Smooth check-in process and great hospitality.
07-08-2025,Vistara,"Cabin crew was polite and helpful, enjoyed the journey."
05-04-2025,Air India,Unhelpful staff and uncomfortable journey.
22-07-2025,Indigo,"Worst experience, would not recommend this airline."
12-04-2025,Vistara,Unhelpful staff and uncomfortable journey.
19-07-2025,Indigo,Lost baggage and no proper response from staff.
16-04-2025,Spicejet,"Terrible experience, flight was delayed for hours."
22-02-2025,Akasa,Smooth check-in process and great hospitality.
16-06-2025,Air India,"The flight was okay, nothing exceptional."
15-05-2025,Air Asia,"The journey was fine, nothing special."
10-06-2025,Akasa,"The journey was fine, nothing special."
20-07-2025,Akasa,Smooth check-in process and great hospitality.
30-06-2025,Vistara,Lost baggage and no proper response from staff.
02-06-2025,Akasa,"Terrible experience, flight was delayed for hours."
10-03-2025,Spicejet,"Excellent service, very comfortable seating."
06-06-2025,Indigo,Smooth check-in process and great hospitality.
14-03-2025,Akasa,Food was average but manageable.
12-03-2025,Akasa,Food was average but manageable.
06-04-2025,Vistara,"Worst experience, would not recommend this airline."
30-03-2025,Akasa,"Cabin crew was polite and helpful, enjoyed the journey."
28-05-2025,Air India,Smooth check-in process and great hospitality.
19-08-2025,Akasa,Smooth check-in process and great hospitality.
05-01-2025,Vistara,"Excellent service, very comfortable seating."
16-07-2025,Akasa,Unhelpful staff and uncomfortable journey.
29-07-2025,Air Asia,Food was average but manageable.
16-08-2025,Vistara,The flight was on time and the crew was very friendly.
16-01-2025,Air India,"The flight was okay, nothing exceptional."
21-05-2025,Air India,Very cramped seating and poor food quality.
28-03-2025,Vistara,Unhelpful staff and uncomfortable journey.
19-09-2025,Indigo,"Terrible experience, flight was delayed for hours."
18-05-2025,Akasa,"The journey was fine, nothing special."
22-01-2025,Air Asia,"The journey was fine, nothing special."
22-04-2025,Vistara,"Excellent service, very comfortable seating."
02-06-2025,Indigo,"Decent experience, could be better."
28-06-2025,Indigo,"The flight was okay, nothing exceptional."
02-05-2025,Air India,"Worst experience, would not recommend this airline."
29-06-2025,Air Asia,Unhelpful staff and uncomfortable journey.
26-03-2025,Akasa,"Excellent service, very comfortable seating."
16-04-2025,Indigo,Very cramped seating and poor food quality.
24-05-2025,Akasa,Lost baggage and no proper response from staff.
15-06-2025,Air Asia,"Decent experience, could be better."
17-05-2025,Akasa,"Terrible experience, flight was delayed for hours."
11-03-2025,Vistara,Smooth check-in process and great hospitality.
06-03-2025,Air Asia,"Excellent service, very comfortable seating."
16-03-2025,Air Asia,"Average service, but acceptable for the price."
21-07-2025,Vistara,Value for money and pleasant travel experience.
18-05-2025,Air Asia,Food was average but manageable.
20-08-2025,Indigo,"Terrible experience, flight was delayed for hours."
26-07-2025,Akasa,Very cramped seating and poor food quality.
08-07-2025,Vistara,"Decent experience, could be better."
02-01-2025,Air Asia,"Cabin crew was polite and helpful, enjoyed the journey."
03-07-2025,Indigo,Unhelpful staff and uncomfortable journey.
22-04-2025,Vistara,"Cabin crew was polite and helpful, enjoyed the journey."
18-05-2025,Spicejet,"Decent experience, could be better."
08-03-2025,Akasa,"Decent experience, could be better."
25-01-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
09-01-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
22-08-2025,Indigo,"Average service, but acceptable for the price."
09-03-2025,Air Asia,"Average service, but acceptable for the price."
21-05-2025,Indigo,Very cramped seating and poor food quality.
09-05-2025,Indigo,"Average service, but acceptable for the price."
27-01-2025,Vistara,Very cramped seating and poor food quality.
30-04-2025,Vistara,"Terrible experience, flight was delayed for hours."
18-02-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
09-02-2025,Air India,Lost baggage and no proper response from staff.
23-09-2025,Air Asia,"The flight was okay, nothing exceptional."
05-01-2025,Air Asia,"The flight was okay, nothing exceptional."
05-08-2025,Air Asia,"Cabin crew was polite and helpful, enjoyed the journey."
06-02-2025,Air India,"The flight was okay, nothing exceptional."
22-02-2025,Indigo,"Decent experience, could be better."
03-06-2025,Air India,"Average service, but acceptable for the price."
15-03-2025,Indigo,"Worst experience, would not recommend this airline."
05-01-2025,Akasa,Lost baggage and no proper response from staff.
14-08-2025,Spicejet,Lost baggage and no proper response from staff.
19-03-2025,Vistara,Unhelpful staff and uncomfortable journey.
22-04-2025,Indigo,"Excellent service, very comfortable seating."
05-03-2025,Akasa,Unhelpful staff and uncomfortable journey.
29-06-2025,Vistara,"Average service, but acceptable for the price."
07-05-2025,Spicejet,"Terrible experience, flight was delayed for hours."
08-05-2025,Akasa,"Worst experience, would not recommend this airline."
26-05-2025,Air Asia,Smooth check-in process and great hospitality.
16-04-2025,Akasa,"Worst experience, would not recommend this airline."
07-04-2025,Air Asia,"Decent experience, could be better."
28-01-2025,Air India,Food was average but manageable.
27-02-2025,Air India,"The journey was fine, nothing special."
06-02-2025,Akasa,Smooth check-in process and great hospitality.
12-06-2025,Air India,"The journey was fine, nothing special."
04-08-2025,Spicejet,Lost baggage and no proper response from staff.
30-08-2025,Indigo,Value for money and pleasant travel experience.
04-02-2025,Indigo,"Average service, but acceptable for the price."
21-01-2025,Indigo,"The journey was fine, nothing special."
27-05-2025,Air Asia,"Worst experience, would not recommend this airline."
01-08-2025,Vistara,Unhelpful staff and uncomfortable journey.
12-02-2025,Air Asia,"Worst experience, would not recommend this airline."
20-03-2025,Spicejet,Smooth check-in process and great hospitality.
10-02-2025,Akasa,"Excellent service, very comfortable seating."
17-06-2025,Vistara,"Terrible experience, flight was delayed for hours."
08-06-2025,Air Asia,"Average service, but acceptable for the price."
30-01-2025,Air India,"Cabin crew was polite and helpful, enjoyed the journey."
01-03-2025,Vistara,"Worst experience, would not recommend this airline."
29-01-2025,Spicejet,Lost baggage and no proper response from staff.
03-03-2025,Indigo,Lost baggage and no proper response from staff.
06-01-2025,Air India,"Decent experience, could be better."
25-09-2025,Akasa,Very cramped seating and poor food quality.
27-03-2025,Spicejet,Smooth check-in process and great hospitality.
02-03-2025,Indigo,Food was average but manageable.
20-05-2025,Akasa,Smooth check-in process and great hospitality.
09-02-2025,Vistara,"The journey was fine, nothing special."
04-07-2025,Indigo,"The journey was fine, nothing special."
27-03-2025,Spicejet,Smooth check-in process and great hospitality.
22-02-2025,Akasa,"Terrible experience, flight was delayed for hours."
27-04-2025,Air Asia,"Terrible experience, flight was delayed for hours."
23-01-2025,Indigo,The flight was on time and the crew was very friendly.
30-08-2025,Spicejet,"Average service, but acceptable for the price."
02-04-2025,Indigo,Unhelpful staff and uncomfortable journey.
25-04-2025,Spicejet,"Cabin crew was polite and helpful, enjoyed the journey."
13-06-2025,Spicejet,Value for money and pleasant travel experience.
10-07-2025,Indigo,"Terrible experience, flight was delayed for hours."
02-04-2025,Air India,"Terrible experience, flight was delayed for hours."
25-07-2025,Indigo,"Decent experience, could be better."
09-06-2025,Spicejet,Value for money and pleasant travel experience.
22-08-2025,Indigo,"Average service, but acceptable for the price."
30-05-2025,Akasa,"The journey was fine, nothing special."
05-05-2025,Vistara,"The journey was fine, nothing special."
10-09-2025,Air India,"Worst experience, would not recommend this airline."
06-05-2025,Air India,"Cabin crew was polite and helpful, enjoyed the journey."
13-01-2025,Air India,Very cramped seating and poor food quality.
05-01-2025,Spicejet,"Cabin crew was polite and helpful, enjoyed the journey."
07-06-2025,Indigo,Value for money and pleasant travel experience.
02-05-2025,Vistara,"The flight was okay, nothing exceptional."
14-03-2025,Air Asia,"The flight was okay, nothing exceptional."
23-01-2025,Air India,Unhelpful staff and uncomfortable journey.
10-07-2025,Vistara,"Terrible experience, flight was delayed for hours."
18-02-2025,Akasa,"Cabin crew was polite and helpful, enjoyed the journey."
08-02-2025,Akasa,"Terrible experience, flight was delayed for hours."
11-08-2025,Air Asia,"Excellent service, very comfortable seating."
30-05-2025,Spicejet,Food was average but manageable.
17-06-2025,Spicejet,"Decent experience, could be better."
30-04-2025,Indigo,"Excellent service, very comfortable seating."
25-02-2025,Air India,"Excellent service, very comfortable seating."
19-08-2025,Vistara,Food was average but manageable.
03-03-2025,Akasa,"Average service, but acceptable for the price."
20-08-2025,Spicejet,"Decent experience, could be better."
03-03-2025,Indigo,Smooth check-in process and great hospitality.
21-01-2025,Air India,"Average service, but acceptable for the price."
16-02-2025,Air Asia,Smooth check-in process and great hospitality.
22-07-2025,Akasa,Smooth check-in process and great hospitality.
14-05-2025,Air India,"Cabin crew was polite and helpful, enjoyed the journey."
20-08-2025,Akasa,"Worst experience, would not recommend this airline."
08-05-2025,Indigo,"The flight was okay, nothing exceptional."
13-03-2025,Indigo,The flight was on time and the crew was very friendly.
24-04-2025,Air India,"Cabin crew was polite and helpful, enjoyed the journey."
10-07-2025,Air Asia,"Terrible experience, flight was delayed for hours."
13-05-2025,Indigo,The flight was on time and the crew was very friendly.
12-04-2025,Air Asia,"Average service, but acceptable for the price."
17-02-2025,Spicejet,The flight was on time and the crew was very friendly.
25-08-2025,Indigo,Value for money and pleasant travel experience.
10-08-2025,Air Asia,Food was average but manageable.
16-01-2025,Vistara,Unhelpful staff and uncomfortable journey.
30-03-2025,Spicejet,"Excellent service, very comfortable seating."
21-05-2025,Spicejet,"Average service, but acceptable for the price."
18-01-2025,Akasa,"Worst experience, would not recommend this airline."
06-05-2025,Air Asia,Food was average but manageable.
30-07-2025,Akasa,"The flight was okay, nothing exceptional."
14-02-2025,Spicejet,"Average service, but acceptable for the price."
03-08-2025,Air India,"Worst experience, would not recommend this airline."
08-05-2025,Air Asia,"Terrible experience, flight was delayed for hours."
15-07-2025,Air Asia,Food was average but manageable.
06-09-2025,Spicejet,"Worst experience, would not recommend this airline."
14-06-2025,Vistara,"Average service, but acceptable for the price."
14-01-2025,Spicejet,Lost baggage and no proper response from staff.
16-01-2025,Spicejet,"Cabin crew was polite and helpful, enjoyed the journey."
03-07-2025,Akasa,"Excellent service, very comfortable seating."
21-02-2025,Air India,Lost baggage and no proper response from staff.
17-05-2025,Akasa,"Terrible experience, flight was delayed for hours."
23-04-2025,Akasa,"Decent experience, could be better."
30-03-2025,Air India,Value for money and pleasant travel experience.
12-06-2025,Air Asia,Very cramped seating and poor food quality.
15-01-2025,Air Asia,Very cramped seating and poor food quality.
14-03-2025,Akasa,"Cabin crew was polite and helpful, enjoyed the journey."
08-06-2025,Air India,"The flight was okay, nothing exceptional."
16-02-2025,Indigo,Value for money and pleasant travel experience.
23-04-2025,Indigo,Unhelpful staff and uncomfortable journey.
01-01-2025,Spicejet,Lost baggage and no proper response from staff.
08-03-2025,Spicejet,Lost baggage and no proper response from staff.
15-06-2025,Indigo,"Excellent service, very comfortable seating."
14-03-2025,Indigo,Very cramped seating and poor food quality.
07-02-2025,Spicejet,Unhelpful staff and uncomfortable journey.
21-02-2025,Spicejet,"Decent experience, could be better."
11-03-2025,Air India,Unhelpful staff and uncomfortable journey.
07-09-2025,Air Asia,"Average service, but acceptable for the price."
02-07-2025,Air India,"Worst experience, would not recommend this airline."
31-03-2025,Vistara,"Decent experience, could be better."
07-03-2025,Air India,"Terrible experience, flight was delayed for hours."
20-07-2025,Akasa,"Excellent service, very comfortable seating."
12-06-2025,Akasa,Value for money and pleasant travel experience.
23-02-2025,Vistara,Smooth check-in process and great hospitality.
09-02-2025,Air India,"Decent experience, could be better."
27-03-2025,Air Asia,Smooth check-in process and great hospitality.
17-08-2025,Indigo,"Average service, but acceptable for the price."
08-05-2025,Air Asia,Smooth check-in process and great hospitality.
12-05-2025,Indigo,"Terrible experience, flight was delayed for hours."
25-01-2025,Vistara,Food was average but manageable.
27-03-2025,Vistara,Food was average but manageable.
29-06-2025,Akasa,"The flight was okay, nothing exceptional."
03-09-2025,Akasa,Lost baggage and no proper response from staff.
25-03-2025,Vistara,The flight was on time and the crew was very friendly.
31-05-2025,Indigo,"Decent experience, could be better."
23-02-2025,Indigo,"Average service, but acceptable for the price."
12-07-2025,Air India,"Terrible experience, flight was delayed for hours."
17-02-2025,Spicejet,"Worst experience, would not recommend this airline."
05-09-2025,Air Asia,"Cabin crew was polite and helpful, enjoyed the journey."
26-03-2025,Akasa,"Average service, but acceptable for the price."
28-01-2025,Indigo,"Average service, but acceptable for the price."
08-04-2025,Vistara,"Worst experience, would not recommend this airline."
16-05-2025,Air Asia,"Decent experience, could be better."
02-05-2025,Indigo,"Cabin crew was polite and helpful, enjoyed the journey."
09-09-2025,Air India,Smooth check-in process and great hospitality.
02-01-2025,Vistara,Smooth check-in process and great hospitality.
03-09-2025,Air India,The flight was on time and the crew was very friendly.
16-04-2025,Air India,Very cramped seating and poor food quality.
11-02-2025,Vistara,Smooth check-in process and great hospitality.
23-07-2025,Vistara,"Decent experience, could be better."
16-02-2025,Air Asia,Unhelpful staff and uncomfortable journey.
05-04-2025,Spicejet,"Decent experience, could be better."
06-04-2025,Vistara,Smooth check-in process and great hospitality.
14-08-2025,Vistara,"Average service, but acceptable for the price."
18-05-2025,Akasa,"Excellent service, very comfortable seating."
19-02-2025,Indigo,Very cramped seating and poor food quality.
31-07-2025,Akasa,Value for money and pleasant travel experience.
01-02-2025,Vistara,Unhelpful staff and uncomfortable journey.
